names,rank,points,event,score
SEBRLE,1,8217,x100m,11.04
SEBRLE,1,8217,long_jump,7.58
SEBRLE,1,8217,shot_put,14.83
SEBRLE,1,8217,high_jump,2.07
SEBRLE,1,8217,x400m,49.81
SEBRLE,1,8217,x110m_hurdle,14.69
SEBRLE,1,8217,discus,43.75
SEBRLE,1,8217,pole_vault,5.02
SEBRLE,1,8217,javeline,63.19
SEBRLE,1,8217,x1500m,291.7
CLAY,2,8122,x100m,10.76
CLAY,2,8122,long_jump,7.4
CLAY,2,8122,shot_put,14.26
CLAY,2,8122,high_jump,1.86
CLAY,2,8122,x400m,49.37
CLAY,2,8122,x110m_hurdle,14.05
CLAY,2,8122,discus,50.72
CLAY,2,8122,pole_vault,4.92
CLAY,2,8122,javeline,60.15
CLAY,2,8122,x1500m,301.5
KARPOV,3,8099,x100m,11.02
KARPOV,3,8099,long_jump,7.3
KARPOV,3,8099,shot_put,14.77
KARPOV,3,8099,high_jump,2.04
KARPOV,3,8099,x400m,48.37
KARPOV,3,8099,x110m_hurdle,14.09
KARPOV,3,8099,discus,48.95
KARPOV,3,8099,pole_vault,4.92
KARPOV,3,8099,javeline,50.31
KARPOV,3,8099,x1500m,300.2
BERNARD,4,8067,x100m,11.02
BERNARD,4,8067,long_jump,7.23
BERNARD,4,8067,shot_put,14.25
BERNARD,4,8067,high_jump,1.92
BERNARD,4,8067,x400m,48.93
BERNARD,4,8067,x110m_hurdle,14.99
BERNARD,4,8067,discus,40.87
BERNARD,4,8067,pole_vault,5.32
BERNARD,4,8067,javeline,62.77
BERNARD,4,8067,x1500m,280.1
YURKOV,5,8036,x100m,11.34
YURKOV,5,8036,long_jump,7.09
YURKOV,5,8036,shot_put,15.19
YURKOV,5,8036,high_jump,2.1
YURKOV,5,8036,x400m,50.42
YURKOV,5,8036,x110m_hurdle,15.31
YURKOV,5,8036,discus,46.26
YURKOV,5,8036,pole_vault,4.72
YURKOV,5,8036,javeline,63.44
YURKOV,5,8036,x1500m,276.4
WARNERS,6,8030,x100m,11.11
WARNERS,6,8030,long_jump,7.6
WARNERS,6,8030,shot_put,14.31
WARNERS,6,8030,high_jump,1.98
WARNERS,6,8030,x400m,48.68
